fetched_at,watch,origin,dest,depart_date,currency,min_price,price_level
2026-09-25T03:26:59+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-25T03:26:59+00:00,STL-LAS,STL,LAS,2026-12-17,USD,194,high
2026-09-25T03:26:59+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,130,typical
2026-09-25T03:26:59+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,130,typical
2026-09-25T03:26:59+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-25T03:26:59+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-25T03:26:59+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,148,high
2026-09-25T03:26:59+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-25T03:26:59+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-25T03:26:59+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-25T09:01:49+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-25T09:01:49+00:00,STL-LAS,STL,LAS,2026-12-17,USD,199,high
2026-09-25T09:01:49+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,131,typical
2026-09-25T09:01:49+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,131,typical
2026-09-25T09:01:49+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-25T09:01:49+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-25T09:01:49+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,148,high
2026-09-25T09:01:49+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-25T09:01:49+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-25T14:41:19+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-25T14:41:19+00:00,STL-LAS,STL,LAS,2026-12-17,USD,199,high
2026-09-25T14:41:19+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,130,typical
2026-09-25T14:41:19+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,130,typical
2026-09-25T14:41:19+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-25T14:41:19+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-25T14:41:19+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-25T14:41:19+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,268,high
2026-09-25T14:41:19+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-25T14:41:19+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-25T19:07:11+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-25T19:07:11+00:00,STL-LAS,STL,LAS,2026-12-17,USD,199,high
2026-09-25T19:07:11+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,131,typical
2026-09-25T19:07:11+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,131,typical
2026-09-25T19:07:11+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-25T19:07:11+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-25T19:07:11+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-25T19:07:11+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,267,high
2026-09-25T19:07:11+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-25T19:07:11+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
2026-09-25T22:38:54+00:00,STL-LAS,STL,LAS,2026-12-16,USD,79,typical
2026-09-25T22:38:54+00:00,STL-LAS,STL,LAS,2026-12-17,USD,199,high
2026-09-25T22:38:54+00:00,SEL-SYX,SEL,SYX,2026-12-19,USD,131,typical
2026-09-25T22:38:54+00:00,SEL-SYX,SEL,SYX,2026-12-20,USD,131,typical
2026-09-25T22:38:54+00:00,PVG-TYO,PVG,TYO,2026-12-16,USD,148,high
2026-09-25T22:38:54+00:00,PVG-TYO,PVG,TYO,2026-12-17,USD,143,high
2026-09-25T22:38:54+00:00,PVG-TYO,PVG,TYO,2026-12-18,USD,149,high
2026-09-25T22:38:54+00:00,SHA-TYO,SHA,TYO,2026-12-16,USD,267,high
2026-09-25T22:38:54+00:00,SHA-TYO,SHA,TYO,2026-12-17,USD,278,high
2026-09-25T22:38:54+00:00,SHA-TYO,SHA,TYO,2026-12-18,USD,278,high
